first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,0,0,0,0,0,1.0,1,6.735281167127669e-10
0,0,1,0,0,0,0.9658416511204478,9,6.061753050414902e-09
0,0,1,0,0,1,0.9327520324094832,72,4.8494024403319216e-08
0,0,1,0,0,2,0.6879283579888582,252,1.6972908541161726e-07
0,0,1,0,1,0,0.9290710955077336,81,5.455577745373412e-08
0,0,1,0,1,1,0.8969202342240903,648,4.36446219629873e-07
0,0,1,0,1,2,0.6604397384789465,2124,1.430573719897917e-06
0,0,1,0,2,0,0.6809341618372163,324,2.182231098149365e-07
0,0,1,0,2,1,0.6564026513590572,2448,1.6487968297128534e-06
0,0,1,0,2,2,0.4801772256149973,7200,4.849402440331922e-06
0,0,1,1,0,0,0.927364776682741,81,5.455577745373412e-08
0,0,1,1,0,1,0.895376435039548,648,4.36446219629873e-07
0,0,1,1,0,2,0.6596957189095386,2124,1.430573719897917e-06
0,0,1,1,1,0,0.8918665810147246,729,4.910019970836071e-07
0,0,1,1,1,1,0.8608169907370998,5544,3.73403987905558e-06
0,0,1,1,1,2,0.63320711892386,16524,1.112937860056176e-05
0,0,1,1,2,0,0.6532122537405751,2772,1.86701993952779e-06
0,0,1,1,2,1,0.6295352079724025,19296,1.299639854008955e-05
0,0,1,1,2,2,0.460060400977744,51888,3.494802691999205e-05
0,0,1,2,0,0,0.6774004022789465,324,2.182231098149365e-07
0,0,1,2,0,1,0.6534626041415572,2448,1.6487968297128534e-06
0,0,1,2,0,2,0.4795994758905936,7200,4.849402440331922e-06
0,0,1,2,1,0,0.6510212694710209,2772,1.86701993952779e-06
0,0,1,2,1,1,0.6277980065362024,19296,1.299639854008955e-05
0,0,1,2,1,2,0.4600175403425089,51888,3.494802691999205e-05
0,0,1,2,2,0,0.4756601688885762,9648,6.498199270044775e-06
0,0,1,2,2,1,0.4580050868237955,61536,4.144622619003682e-05
0,0,1,2,2,2,0.3334802962703625,153204,0.00010318720159286275
0,0,2,0,0,1,0.6879283579888582,252,1.6972908541161726e-07
0,0,2,0,0,2,0.5058440054514503,756,5.091872562348518e-07
0,0,2,0,1,0,0.6864071651020253,324,2.182231098149365e-07
0,0,2,0,1,1,0.6622947723121093,2268,1.5275617687045555e-06
0,0,2,0,1,2,0.4862631852659269,6444,4.34021518409707e-06
0,0,2,0,2,0,0.5060157389565373,1296,8.72892439259746e-07
0,0,2,0,2,1,0.4875544356537141,8712,5.867776952801625e-06
0,0,2,0,2,2,0.3557680205687296,22896,1.542109976025551e-05
0,0,2,1,0,0,0.6848726767701685,324,2.182231098149365e-07
0,0,2,1,0,1,0.660890482353438,2268,1.5275617687045555e-06
0,0,2,1,0,2,0.4855127159912733,6444,4.34021518409707e-06
0,0,2,1,1,0,0.6594536609867295,2916,1.9640079883344284e-06
0,0,2,1,1,1,0.636160663644819,19692,1.3263115674307806e-05
0,0,2,1,1,2,0.4666387204584405,52236,3.518241470460809e-05
0,0,2,1,2,0,0.4858550838035608,11304,7.613561831321117e-06
0,0,2,1,2,1,0.46803076567595,71928,4.84455303789159e-05
0,0,2,1,2,2,0.3412103569129752,177624,0.00011963475820298851
0,0,2,2,0,0,0.5020867046053559,1296,8.72892439259746e-07
0,0,2,2,0,1,0.4841100101707325,8712,5.867776952801625e-06
0,0,2,2,0,2,0.3543758783631713,22896,1.542109976025551e-05
0,0,2,2,1,0,0.4831643362831808,11304,7.613561831321117e-06
0,0,2,2,1,1,0.4657124118513005,71928,4.84455303789159e-05
0,0,2,2,1,2,0.3403950996217188,177624,0.00011963475820298851
0,0,2,2,2,0,0.3552165303585403,41616,2.802954610511851e-05
0,0,2,2,2,1,0.3418984871192583,249552,0.00016808028858190442
0,0,2,2,2,2,0.2484148589861257,582516,0.0003923409044350541
0,1,0,0,0,0,0.961616940620142,9,6.061753050414902e-09
0,1,0,0,0,1,0.9290710955077336,81,5.455577745373412e-08
0,1,0,0,0,2,0.6864071651020253,324,2.182231098149365e-07
0,1,0,0,1,0,0.9243026114088716,72,4.8494024403319216e-08
0,1,0,0,1,1,0.8926955237237845,648,4.36446219629873e-07
0,1,0,0,1,2,0.6584463835235107,2400,1.6164674801106406e-06
0,1,0,0,2,0,0.6749500234728589,252,1.6972908541161726e-07
0,1,0,0,2,1,0.6508994443993824,2100,1.4144090450968106e-06
0,1,0,0,2,2,0.4768966048641128,6720,4.526108944309794e-06
0,1,0,1,0,0,0.923195284711556,81,5.455577745373412e-08
0,1,0,1,0,1,0.8917328021660706,729,4.910019970836071e-07
0,1,0,1,0,2,0.6581474259454017,2724,1.834690589925577e-06
0,1,0,1,1,0,0.887174204245995,648,4.36446219629873e-07
0,1,0,1,1,1,0.856650473066078,5496,3.7017105294533672e-06
0,1,0,1,1,2,0.6312051401144178,18240,1.2285152848840869e-05
0,1,0,1,2,0,0.6473779619116239,2124,1.430573719897917e-06
0,1,0,1,2,1,0.6241659415081297,16020,1.0789920429738526e-05
0,1,0,1,2,2,0.4568445763257997,46152,3.108466964252762e-05
0,1,0,2,0,0,0.6740414475139757,324,2.182231098149365e-07
0,1,0,2,0,1,0.6504992151336444,2748,1.8508552647266836e-06
0,1,0,2,0,2,0.4782297540889844,9120,6.1425764244204344e-06
0,1,0,2,1,0,0.6472819599079802,2448,1.6487968297128534e-06
0,1,0,2,1,1,0.6244542627302195,18768,1.264077569446521e-05
0,1,0,2,1,2,0.4583191745375184,55272,3.7227246066948055e-05
0,1,0,2,2,0,0.4711765245449689,7200,4.849402440331922e-06
0,1,0,2,2,1,0.4538708015143272,49020,3.3016348281259834e-05
0,1,0,2,2,2,0.3309720317638122,129876,8.747513768618732e-05
0,1,1,0,0,1,0.8969202342240903,648,4.36446219629873e-07
0,1,1,0,0,2,0.6622947723121093,2268,1.5275617687045555e-06
0,1,1,0,1,0,0.8926955237237845,648,4.36446219629873e-07
0,1,1,0,1,1,0.8620875341764667,5184,3.491569757038984e-06
0,1,1,0,1,2,0.6355467292958729,16992,1.1444589759183336e-05
0,1,1,0,2,0,0.6528849029111778,2268,1.5275617687045555e-06
0,1,1,0,2,1,0.6295749003313766,17136,1.1541577807989973e-05
0,1,1,0,2,2,0.4610959019631655,50400,3.394581708232345e-05
0,1,1,1,0,0,0.8915311155185773,729,4.910019970836071e-07
0,1,1,1,0,1,0.8610656761765774,5832,3.928015976668857e-06
0,1,1,1,0,2,0.6351852548379706,19260,1.297215152788789e-05
0,1,1,1,1,0,0.8570299630540462,5832,3.928015976668857e-06
0,1,1,1,1,1,0.8274689109995716,44640,3.0066295130057915e-05
0,1,1,1,1,2,0.6094093957759597,134784,9.078081368301358e-05
0,1,1,1,2,0,0.6263716113847405,19548,1.3166127625501168e-05
0,1,1,1,2,1,0.603872331904914,137808,9.281756270795299e-05
0,1,1,1,2,2,0.4418339057410817,376128,0.0002533327834829396
0,1,1,2,0,0,0.6515600704114914,2916,1.9640079883344284e-06
0,1,1,2,0,1,0.6287538399218666,22320,1.5033147565028957e-05
0,1,1,2,0,2,0.4620431599888477,67392,4.539040684150679e-05
0,1,1,2,1,0,0.6259169394942724,22464,1.5130135613835597e-05
0,1,1,2,1,1,0.6037991463397518,160128,0.00010785071027298194
0,1,1,2,1,2,0.4429835778246234,443520,0.0002987231903244464
0,1,1,2,2,0,0.4563750329345146,70416,4.742715586644619e-05
0,1,1,2,2,1,0.4395916632877332,462048,0.0003112023192709005
0,1,1,2,2,2,0.3204702628270782,1181124,0.0007955202233242501
0,1,2,0,0,1,0.6604397384789465,2124,1.430573719897917e-06
0,1,2,0,0,2,0.4862631852659269,6444,4.34021518409707e-06
0,1,2,0,1,0,0.6584463835235107,2400,1.6164674801106406e-06
0,1,2,0,1,1,0.6355467292958729,16992,1.1444589759183336e-05
0,1,2,0,1,2,0.4672278743609164,48780,3.285470153324877e-05
0,1,2,0,2,0,0.4843412215967501,8400,5.6576361803872425e-06
0,1,2,0,2,1,0.4668429045481906,57060,3.843151433963048e-05
0,1,2,0,2,2,0.3410930013739192,151272,0.00010188594527137367
0,1,2,1,0,0,0.6573223324495288,2700,1.8185259151244708e-06
0,1,2,1,0,1,0.634537107954808,19116,1.2875163479081253e-05
0,1,2,1,0,2,0.4667646351928037,55224,3.719491671734584e-05
0,1,2,1,1,0,0.6326436426073055,21600,1.4548207320995766e-05
0,1,2,1,1,1,0.610521145532418,148104,9.975220819762764e-05
0,1,2,1,1,2,0.4484158784382832,400104,0.0002694812936092449
0,1,2,1,2,0,0.4650869682538961,73548,4.953664592799058e-05
0,1,2,1,2,1,0.4481915935754178,476280,0.00032078797142795663
0,1,2,1,2,2,0.3271715308243119,1197288,0.0008064071318027953
0,1,2,2,0,0,0.4821084435604977,10800,7.274103660497883e-06
0,1,2,2,0,1,0.4650234410819277,74052,4.987610409881382e-05
0,1,2,2,0,2,0.3408638428616013,200052,0.00013474064680462245
0,1,2,2,1,0,0.4637340415494053,84348,5.681074958848846e-05
0,1,2,2,1,1,0.4471537002181258,550332,0.0003706640755267704
0,1,2,2,1,2,0.3272692220364724,1397340,0.0009411477786074177
0,1,2,2,2,0,0.3402035724723379,275724,0.00018570786645251094
0,1,2,2,2,1,0.3275751950834451,1698120,0.0011437315655522839
0,1,2,2,2,2,0.2383269865476741,4066272,0.002738748522201856
0,2,0,0,0,1,0.6809341618372163,324,2.182231098149365e-07
0,2,0,0,0,2,0.5060157389565373,1296,8.72892439259746e-07
0,2,0,0,1,0,0.6749500234728589,252,1.6972908541161726e-07
0,2,0,0,1,1,0.6528849029111778,2268,1.5275617687045555e-06
0,2,0,0,1,2,0.4843412215967501,8400,5.6576361803872425e-06
0,2,0,0,2,0,0.4880496081368964,756,5.091872562348518e-07
0,2,0,0,2,1,0.4713941576441536,6300,4.243227135290432e-06
0,2,0,0,2,2,0.347320474670395,20160,1.357832683292938e-05
0,2,0,1,0,0,0.6758097093728062,324,2.182231098149365e-07
0,2,0,1,0,1,0.6538081402301057,2916,1.9640079883344284e-06
0,2,0,1,0,2,0.4853887006061992,10992,7.4034210589067344e-06
0,2,0,1,1,0,0.6480652192254678,2268,1.5275617687045555e-06
0,2,0,1,1,1,0.6267528471575872,19404,1.306913957669453e-05
0,2,0,1,1,2,0.4645004896050997,65520,4.412956220702049e-05
0,2,0,1,2,0,0.4682909361168738,6444,4.34021518409707e-06
0,2,0,1,2,1,0.4522134778186567,49500,3.333964177728196e-05
0,2,0,1,2,2,0.3328706374779014,145620,9.807916435571312e-05
0,2,0,2,0,0,0.4943465652880048,1296,8.72892439259746e-07
0,2,0,2,0,1,0.4778641576390078,11160,7.516573782514479e-06
0,2,0,2,0,2,0.3534515095170075,38256,2.576649163296361e-05
0,2,0,2,1,0,0.4737187510332763,8712,5.867776952801625e-06
0,2,0,2,1,1,0.4577611133870224,68904,4.6408781353976495e-05
0,2,0,2,1,2,0.3379986865824548,211140,0.00014220872656273362
0,2,0,2,2,0,0.3415224887010472,22896,1.542109976025551e-05
0,2,0,2,2,1,0.3295209450715917,162120,0.00010919237828147378
0,2,0,2,2,2,0.241710261065883,444360,0.0002992889539424851
0,2,1,0,0,1,0.6564026513590572,2448,1.6487968297128534e-06
0,2,1,0,0,2,0.4875544356537141,8712,5.867776952801625e-06
0,2,1,0,1,0,0.6508994443993824,2100,1.4144090450968106e-06
0,2,1,0,1,1,0.6295749003313766,17136,1.1541577807989973e-05
0,2,1,0,1,2,0.4668429045481906,57060,3.843151433963048e-05
0,2,1,0,2,0,0.4713941576441536,6300,4.243227135290432e-06
0,2,1,0,2,1,0.4552842164319237,48492,3.2660725435635495e-05
0,2,1,0,2,2,0.335345998788894,144612,9.740024801406665e-05
0,2,1,1,0,0,0.6516481032304582,2700,1.8185259151244708e-06
0,2,1,1,0,1,0.6303868600289736,22032,1.4839171467415682e-05
0,2,1,1,0,2,0.4677897018806411,74484,5.016706824523373e-05
0,2,1,1,1,0,0.6251064911937693,18900,1.2729681405871294e-05
0,2,1,1,1,1,0.6045079754121179,148392,9.994618429524091e-05
0,2,1,1,1,2,0.4478279611334296,460404,0.00031009503904702476
0,2,1,1,2,0,0.4524178639668419,54648,3.6806964522119284e-05
0,2,1,1,2,1,0.4368656444469372,396792,0.0002672505684866922
0,2,1,1,2,2,0.3214810480247288,1113012,0.0007496448762387101
0,2,1,2,0,0,0.4771148198915903,10800,7.274103660497883e-06
0,2,1,2,0,1,0.4611803785536761,85212,5.7392677881328296e-05
0,2,1,2,0,2,0.3409847142174266,267444,0.00018013105364612925
0,2,1,2,1,0,0.4573719650058606,73548,4.953664592799058e-05
0,2,1,2,1,1,0.4419421848152369,545184,0.0003671967527819331
0,2,1,2,1,2,0.3262091911570402,1573416,0.0010597399152857349
0,2,1,2,2,0,0.3302811778098252,202176,0.00013617122052452036
0,2,1,2,2,1,0.3186657920966933,1383960,0.0009321359724058009
0,2,1,2,2,2,0.2336981349303284,3673980,0.0024745288302403714
0,2,2,0,0,1,0.4801772256149973,7200,4.849402440331922e-06
0,2,2,0,0,2,0.3557680205687296,22896,1.542109976025551e-05
0,2,2,0,1,0,0.4768966048641128,6720,4.526108944309794e-06
0,2,2,0,1,1,0.4610959019631655,50400,3.394581708232345e-05
0,2,2,0,1,2,0.3410930013739192,151272,0.00010188594527137367
0,2,2,0,2,0,0.347320474670395,20160,1.357832683292938e-05
0,2,2,0,2,1,0.335345998788894,144612,9.740024801406665e-05
0,2,2,0,2,2,0.2465135052773204,399168,0.00026885087129200177
0,2,2,1,0,0,0.4772331453111344,8640,5.8192829283983065e-06
0,2,2,1,0,1,0.4614845734864207,64800,4.3644621962987295e-05
0,2,2,1,0,2,0.3416227258494888,197064,0.0001327281447918847
0,2,2,1,1,0,0.4583403017674835,60480,4.0734980498788145e-05
0,2,2,1,1,1,0.4430736312279403,440424,0.00029663794727510367
0,2,2,1,1,2,0.3274751034170767,1252152,0.0008433595783981245
0,2,2,1,2,0,0.3336170979132043,176904,0.00011914981795895532
0,2,2,1,2,1,0.3220535684768344,1216296,0.0008192095542452715
0,2,2,1,2,2,0.2365426489197539,3209976,0.0021620090899731807
0,2,2,2,0,0,0.3505757896228784,34560,2.3277131713593226e-05
0,2,2,2,0,1,0.3387549913047116,252612,0.0001701412846190455
0,2,2,2,0,2,0.2499285272168387,724608,0.0004880438615950046
0,2,2,2,1,0,0.3364994534063392,237384,0.00015988479845774347
0,2,2,2,1,1,0.325045746770568,1656720,0.0011158475015203752
0,2,2,2,1,2,0.2394370632602904,4462128,0.0030053686683713054
0,2,2,2,2,0,0.2444498420688371,671328,0.0004521582835365484
0,2,2,2,2,1,0.2357975382347969,4420728,0.0029774846043393965
0,2,2,2,2,2,0.1726442067005739,11194776,0.007539996396301282
1,0,0,0,0,0,0.9599505000478838,9,6.061753050414902e-09
1,0,0,0,0,1,0.927364776682741,81,5.455577745373412e-08
1,0,0,0,0,2,0.6848726767701685,324,2.182231098149365e-07
1,0,0,0,1,0,0.923195284711556,81,5.455577745373412e-08
1,0,0,0,1,1,0.8915311155185773,729,4.910019970836071e-07
1,0,0,0,1,2,0.6573223324495288,2700,1.8185259151244708e-06
1,0,0,0,2,0,0.6758097093728062,324,2.182231098149365e-07
1,0,0,0,2,1,0.6516481032304582,2700,1.8185259151244708e-06
1,0,0,0,2,2,0.4772331453111344,8640,5.8192829283983065e-06
1,0,0,1,0,0,0.9209697302643552,72,4.8494024403319216e-08
1,0,0,1,0,1,0.889487805656253,648,4.36446219629873e-07
1,0,0,1,0,2,0.6562175819972594,2400,1.6164674801106406e-06
1,0,0,1,1,0,0.8855077636737368,648,4.36446219629873e-07
1,0,0,1,1,1,0.8549473871760456,5448,3.669381179851154e-06
1,0,0,1,1,2,0.6296857334241504,17760,1.1961859352818741e-05
1,0,0,1,2,0,0.6477501939606064,2400,1.6164674801106406e-06
1,0,0,1,2,1,0.6244452024299935,17760,1.1961859352818741e-05
1,0,0,1,2,2,0.4568376497626474,50016,3.368718228550575e-05
1,0,0,2,0,0,0.670214040473269,252,1.6972908541161726e-07
1,0,0,2,0,1,0.6467323932940922,2100,1.4144090450968106e-06
1,0,0,2,0,2,0.4752527220955395,6720,4.526108944309794e-06
1,0,0,2,1,0,0.6439458943225278,2100,1.4144090450968106e-06
1,0,0,2,1,1,0.6211635875516087,15540,1.0466626933716399e-05
1,0,0,2,1,2,0.4557021702635811,43764,2.947628449981753e-05
1,0,0,2,2,0,0.4698752439764676,6720,4.526108944309794e-06
1,0,0,2,2,1,0.4525559668660052,43764,2.947628449981753e-05
1,0,0,2,2,2,0.329852191587616,111804,7.53031375609542e-05
1,0,1,0,0,1,0.895376435039548,648,4.36446219629873e-07
1,0,1,0,0,2,0.660890482353438,2268,1.5275617687045555e-06
1,0,1,0,1,0,0.8917328021660706,729,4.910019970836071e-07
1,0,1,0,1,1,0.8610656761765774,5832,3.928015976668857e-06
1,0,1,0,1,2,0.634537107954808,19116,1.2875163479081253e-05
1,0,1,0,2,0,0.6538081402301057,2916,1.9640079883344284e-06
1,0,1,0,2,1,0.6303868600289736,22032,1.4839171467415682e-05
1,0,1,0,2,2,0.4614845734864207,64800,4.3644621962987295e-05
1,0,1,1,0,0,0.889487805656253,648,4.36446219629873e-07
1,0,1,1,0,1,0.8589999358073822,5184,3.491569757038984e-06
1,0,1,1,0,2,0.6333984197677937,16992,1.1444589759183336e-05
1,0,1,1,1,0,0.855525330876547,5832,3.928015976668857e-06
1,0,1,1,1,1,0.8259251118150294,44352,2.987231903244464e-05
1,0,1,1,1,2,0.6080172293233893,132192,8.903502880449409e-05
1,0,1,1,2,0,0.626822234024171,22176,1.493615951622232e-05
1,0,1,1,2,1,0.604229320665559,154368,0.0001039711883207164
1,0,1,1,2,2,0.4418901022330277,415104,0.0002795842153599364
1,0,1,2,0,0,0.6479431840130568,2268,1.5275617687045555e-06
1,0,1,2,0,1,0.6251931015213537,17136,1.1541577807989973e-05
1,0,1,2,0,2,0.4592270150036982,50400,3.394581708232345e-05
1,0,1,2,1,0,0.6227734679267379,19404,1.306913957669453e-05
1,0,1,2,1,1,0.6006970401750334,135072,9.097478978062686e-05
1,0,1,2,1,2,0.4405136559267013,363216,0.0002446361884399444
1,0,1,2,2,0,0.455185773562385,67536,4.548739489031343e-05
1,0,1,2,2,1,0.4383866837693595,430752,0.0002901235833302578
1,0,1,2,2,2,0.3194359741922668,1072428,0.0007223104111500392
1,0,2,0,0,1,0.6596957189095386,2124,1.430573719897917e-06
1,0,2,0,0,2,0.4855127159912733,6444,4.34021518409707e-06
1,0,2,0,1,0,0.6581474259454017,2724,1.834690589925577e-06
1,0,2,0,1,1,0.6351852548379706,19260,1.297215152788789e-05
1,0,2,0,1,2,0.4667646351928037,55224,3.719491671734584e-05
1,0,2,0,2,0,0.4853887006061992,10992,7.4034210589067344e-06
1,0,2,0,2,1,0.4677897018806411,74484,5.016706824523373e-05
1,0,2,0,2,2,0.3416227258494888,197064,0.0001327281447918847
1,0,2,1,0,0,0.6562175819972594,2400,1.6164674801106406e-06
1,0,2,1,0,1,0.6333984197677937,16992,1.1444589759183336e-05
1,0,2,1,0,2,0.4657269358116093,48780,3.285470153324877e-05
1,0,2,1,1,0,0.6319342477713217,21792,1.4677524719404617e-05
1,0,2,1,1,1,0.6097650024569093,148536,0.00010004317234404755
1,0,2,1,1,2,0.4476654091636296,397116,0.00026746879159650713
1,0,2,1,2,0,0.4657760117643054,85164,5.736034853172608e-05
1,0,2,1,2,1,0.4487938893585071,545652,0.0003675119639405547
1,0,2,1,2,2,0.3274512201100581,1355472,0.0009129485034168876
1,0,2,2,0,0,0.4797394943037208,8400,5.6576361803872425e-06
1,0,2,2,0,1,0.4626844288028824,57060,3.843151433963048e-05
1,0,2,2,0,2,0.3390004357268916,151272,0.00010188594527137367
1,0,2,2,1,0,0.4617126408831895,73860,4.974678670040496e-05
1,0,2,2,1,1,0.4451509212572809,473724,0.0003190664335616388
1,0,2,2,1,2,0.3256578625935989,1177848,0.0007933137452138991
1,0,2,2,2,0,0.3395902523810343,273792,0.00018440661013102187
1,0,2,2,2,1,0.3269381048378465,1651572,0.0011123801787755378
1,0,2,2,2,2,0.2377437731631875,3875832,0.002610481827655077
1,1,0,0,0,1,0.8918665810147246,729,4.910019970836071e-07
1,1,0,0,0,2,0.6594536609867295,2916,1.9640079883344284e-06
1,1,0,0,1,0,0.887174204245995,648,4.36446219629873e-07
1,1,0,0,1,1,0.8570299630540462,5832,3.928015976668857e-06
1,1,0,0,1,2,0.6326436426073055,21600,1.4548207320995766e-05
1,1,0,0,2,0,0.6480652192254678,2268,1.5275617687045555e-06
1,1,0,0,2,1,0.6251064911937693,18900,1.2729681405871294e-05
1,1,0,0,2,2,0.4583403017674835,60480,4.0734980498788145e-05
1,1,0,1,0,0,0.8855077636737368,648,4.36446219629873e-07
1,1,0,1,0,1,0.855525330876547,5832,3.928015976668857e-06
1,1,0,1,0,2,0.6319342477713217,21792,1.4677524719404617e-05
1,1,0,1,1,0,0.8510398518423498,5184,3.491569757038984e-06
1,1,0,1,1,1,0.8219450698325131,43968,2.9613684235626938e-05
1,1,0,1,1,2,0.6061144773702136,145920,9.828122279072695e-05
1,1,0,1,2,0,0.6212247223517064,16992,1.1444589759183336e-05
1,1,0,1,2,1,0.5990788673217313,128160,8.631936343790821e-05
1,1,0,1,2,2,0.4388084605466074,369216,0.000248677357140221
1,1,0,2,0,0,0.6447405820650998,2268,1.5275617687045555e-06
1,1,0,2,0,1,0.6223698440792916,19236,1.2955986853086784e-05
1,1,0,2,0,2,0.4579295654631248,63840,4.299803497094304e-05
1,1,0,2,1,0,0.6192040006018323,17136,1.1541577807989973e-05
1,1,0,2,1,1,0.5975069173560229,131376,8.848542986125647e-05
1,1,0,2,1,2,0.4388992009486034,386904,0.0002605907224686364
1,1,0,2,2,0,0.4508924682645607,50400,3.394581708232345e-05
1,1,0,2,2,1,0.4344284802624996,343140,0.00023111443796881886
1,1,0,2,2,2,0.3170364737001158,909132,0.0006123259638033112
1,1,1,0,0,1,0.8608169907370998,5544,3.73403987905558e-06
1,1,1,0,0,2,0.636160663644819,19692,1.3263115674307806e-05
1,1,1,0,1,0,0.856650473066078,5496,3.7017105294533672e-06
1,1,1,0,1,1,0.8274689109995716,44640,3.0066295130057915e-05
1,1,1,0,1,2,0.610521145532418,148104,9.975220819762764e-05
1,1,1,0,2,0,0.6267528471575872,19404,1.306913957669453e-05
1,1,1,0,2,1,0.6045079754121179,148392,9.994618429524091e-05
1,1,1,0,2,2,0.4430736312279403,440424,0.00029663794727510367
1,1,1,1,0,0,0.8549473871760456,5448,3.669381179851154e-06
1,1,1,1,0,1,0.8259251118150294,44352,2.987231903244464e-05
1,1,1,1,0,2,0.6097650024569093,148536,0.00010004317234404755
1,1,1,1,1,0,0.8219450698325131,43968,2.9613684235626938e-05
1,1,1,1,1,1,0.7937774450752436,341424,0.00022995866372053973
1,1,1,1,1,2,0.585070511645068,1042272,0.000701999497262449
1,1,1,1,2,0,0.6009466793303243,148536,0.00010004317234404755
1,1,1,1,2,1,0.5794875239329123,1058616,0.0007130076408020025
1,1,1,1,2,2,0.4243137178875163,2913984,0.0019626501556511355
1,1,1,2,0,0,0.6230968179991218,19068,1.284283412947904e-05
1,1,1,2,0,1,0.601433203712488,148392,9.994618429524091e-05
1,1,1,2,0,2,0.4423410804953038,453744,0.0003056093417897177
1,1,1,2,1,0,0.5986342256119772,148056,9.971987884802543e-05
1,1,1,2,1,1,0.5776192593134248,1069200,0.0007201362623892904
1,1,1,2,1,2,0.4241298042999667,2991600,0.0020149267139579134
1,1,1,2,2,0,0.4366402199744984,467064,0.00031458073630433176
1,1,1,2,2,1,0.4206783148540971,3095448,0.002084871261822301
